"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2019","4.310","4.341","4.407","4.310","46.93K","-3.01%"
"10/15/2019","4.444","4.339","4.542","4.329","30.05K","1.50%"
"10/14/2019","4.378","4.504","4.542","4.343","24.19K","-2.46%"
"10/11/2019","4.488","4.416","4.488","4.416","16.58K","3.44%"
"10/10/2019","4.339","4.329","4.395","4.329","2.66K","-1.54%"
"10/09/2019","4.407","4.358","4.407","4.310","13.97K","2.25%"
"10/08/2019","4.310","4.310","4.358","4.310","8.50K","-0.31%"
"10/07/2019","4.323","4.262","4.397","4.262","23.61K","0.77%"
"10/04/2019","4.291","4.165","4.296","4.165","6.09K","3.02%"
"10/03/2019","4.165","4.174","4.184","4.165","11.07K","-0.28%"
"10/02/2019","4.176","4.296","4.298","4.174","16.70K","-0.87%"
"10/01/2019","4.213","4.306","4.306","4.213","18.73K","-0.59%"
"09/30/2019","4.238","4.281","4.293","4.213","50.64K","0.60%"
"09/27/2019","4.213","4.213","4.252","4.213","50.78K","0.00%"
"09/26/2019","4.213","4.174","4.298","4.174","34.06K","0.46%"
"09/25/2019","4.194","4.145","4.242","4.145","13.39K","1.17%"
"09/24/2019","4.145","4.184","4.300","4.145","18.15K","-2.95%"
"09/23/2019","4.271","4.327","4.327","4.174","17.97K","-1.30%"
"09/20/2019","4.327","4.236","4.329","4.184","45.84K","0.40%"
"09/19/2019","4.310","4.329","4.329","4.252","8.22K","-0.36%"
"09/18/2019","4.325","4.262","4.327","4.232","7.26K","-0.09%"
"09/17/2019","4.329","4.293","4.339","4.262","32.87K","-0.97%"
"09/16/2019","4.372","4.407","4.407","4.291","10.07K","-0.27%"
"09/13/2019","4.384","4.397","4.397","4.293","5.26K","0.58%"
"09/12/2019","4.358","4.281","4.397","4.281","36.53K","-1.06%"
"09/11/2019","4.405","4.252","4.405","4.252","12.30K","0.00%"
"09/10/2019","4.405","4.265","4.405","4.265","4.14K","1.65%"
"09/09/2019","4.333","4.314","4.335","4.262","3.74K","-0.31%"
"09/06/2019","4.347","4.358","4.407","4.263","7.82K","0.40%"
"09/05/2019","4.329","4.345","4.407","4.273","17.51K","-0.31%"
"09/04/2019","4.343","4.329","4.368","4.234","13.86K","-0.09%"
"09/03/2019","4.347","4.262","4.356","4.215","2.41K","4.37%"
