"Date","Price","Open","High","Low","Change %"
"04/21/2011","1.392","1.392","1.392","1.392","3.03%"
"04/20/2011","1.351","1.351","1.351","1.351","-4.52%"
"04/19/2011","1.415","1.415","1.415","1.415","9.60%"
"04/18/2011","1.291","1.291","1.291","1.291","-4.79%"
"04/15/2011","1.356","1.356","1.356","1.356","2.19%"
"04/14/2011","1.327","1.327","1.327","1.327","-2.35%"
"04/13/2011","1.359","1.359","1.359","1.359","4.06%"
"04/12/2011","1.306","1.306","1.306","1.306","-0.15%"
"04/11/2011","1.308","1.308","1.308","1.308","-2.68%"
"04/08/2011","1.344","1.344","1.344","1.344","1.59%"
"04/07/2011","1.323","1.323","1.323","1.323","-1.34%"
"04/06/2011","1.341","1.341","1.341","1.341","2.84%"
"04/05/2011","1.304","1.304","1.304","1.304","0.62%"
"04/04/2011","1.296","1.296","1.296","1.296","0.62%"
"04/01/2011","1.288","1.288","1.288","1.288","0.16%"
"03/31/2011","1.286","1.286","1.286","1.286","-1.98%"
"03/30/2011","1.312","1.312","1.312","1.312","3.63%"
"03/29/2011","1.266","1.266","1.266","1.266","11.25%"
"03/28/2011","1.138","1.138","1.138","1.138","2.52%"
"03/25/2011","1.110","1.110","1.110","1.110","-22.70%"
"03/24/2011","1.436","1.436","1.436","1.436","1.84%"
"03/23/2011","1.410","1.410","1.410","1.410","-11.04%"
"03/22/2011","1.585","1.585","1.585","1.585","10.76%"
"03/21/2011","1.431","1.431","1.431","1.431","-5.73%"
"03/18/2011","1.518","1.518","1.518","1.518","4.76%"
"03/17/2011","1.449","1.449","1.449","1.449","3.43%"
"03/16/2011","1.401","1.401","1.401","1.401","0.65%"
"03/15/2011","1.392","1.392","1.392","1.392","-3.93%"
"03/14/2011","1.449","1.449","1.449","1.449","-5.11%"
"03/11/2011","1.527","1.527","1.527","1.527","0.07%"
"03/10/2011","1.526","1.526","1.526","1.526","-1.68%"
"03/09/2011","1.552","1.552","1.552","1.552","0.98%"
"03/08/2011","1.537","1.537","1.537","1.537","-1.85%"
"03/07/2011","1.566","1.566","1.566","1.566","1.03%"
"03/04/2011","1.550","1.550","1.550","1.550","-3.00%"
"03/03/2011","1.598","1.598","1.598","1.598","4.31%"
"03/02/2011","1.532","1.532","1.532","1.532","2.41%"
"03/01/2011","1.496","1.496","1.496","1.496","-1.77%"
"02/28/2011","1.523","1.523","1.523","1.523","-0.26%"
"02/25/2011","1.527","1.527","1.527","1.527","-0.84%"
"02/24/2011","1.540","1.540","1.540","1.540","0.65%"
"02/23/2011","1.530","1.530","1.530","1.530","1.66%"
"02/22/2011","1.505","1.505","1.505","1.505","-4.81%"
"02/21/2011","1.581","1.581","1.581","1.581","1.15%"
"02/18/2011","1.563","1.563","1.563","1.563","-0.95%"
"02/17/2011","1.578","1.578","1.578","1.578","-5.17%"
"02/16/2011","1.664","1.664","1.664","1.664","-3.26%"
"02/15/2011","1.720","1.720","1.720","1.720","-20.11%"
"02/10/2011","2.153","2.153","2.153","2.153","4.97%"
"02/09/2011","2.051","2.051","2.051","2.051","2.35%"
"02/08/2011","2.004","2.004","2.004","2.004","3.83%"
"02/07/2011","1.930","1.930","1.930","1.930","-3.64%"
"02/04/2011","2.003","2.003","2.003","2.003","1.16%"
"02/03/2011","1.980","1.980","1.980","1.980","3.34%"
"02/02/2011","1.916","1.916","1.916","1.916","1.48%"
"02/01/2011","1.888","1.888","1.888","1.888","11.78%"
"01/31/2011","1.689","1.689","1.689","1.689","7.51%"
"01/28/2011","1.571","1.571","1.571","1.571","2.75%"
"01/27/2011","1.529","1.529","1.529","1.529","-15.94%"
"01/26/2011","1.819","1.819","1.819","1.819","0.00%"
"01/25/2011","1.819","1.819","1.819","1.819","4.48%"
"01/24/2011","1.741","1.741","1.741","1.741","18.35%"
"01/21/2011","1.471","1.471","1.471","1.471","-14.97%"
"01/20/2011","1.730","1.730","1.730","1.730","2.06%"
"01/19/2011","1.695","1.695","1.695","1.695","0.65%"
"01/18/2011","1.684","1.684","1.684","1.684","9.56%"
"01/17/2011","1.537","1.537","1.537","1.537","-2.23%"
"01/14/2011","1.572","1.572","1.572","1.572","-3.56%"
"01/13/2011","1.630","1.630","1.630","1.630","-2.57%"
"01/12/2011","1.673","1.673","1.673","1.673","-12.04%"
"01/11/2011","1.902","1.902","1.902","1.902","-4.13%"
"01/10/2011","1.984","1.984","1.984","1.984","2.11%"
"01/07/2011","1.943","1.943","1.943","1.943","-4.71%"
"01/06/2011","2.039","2.039","2.039","2.039","0.99%"
"01/05/2011","2.019","2.019","2.019","2.019","-1.08%"
"01/04/2011","2.041","2.041","2.041","2.041","-2.30%"
"01/03/2011","2.089","2.089","2.089","2.089","-4.57%"
"12/30/2010","2.189","2.189","2.189","2.189","3.11%"
"12/29/2010","2.123","2.123","2.123","2.123","-1.53%"
"12/28/2010","2.156","2.156","2.156","2.156","-4.52%"
"12/27/2010","2.258","2.258","2.258","2.258","0.71%"
"12/23/2010","2.242","2.242","2.242","2.242","3.70%"
"12/22/2010","2.162","2.162","2.162","2.162","-3.65%"
"12/21/2010","2.244","2.244","2.244","2.244","22.16%"
"12/20/2010","1.837","1.837","1.837","1.837","0.71%"
"12/17/2010","1.824","1.824","1.824","1.824","-0.65%"
"12/16/2010","1.836","1.836","1.836","1.836","3.67%"
"12/15/2010","1.771","1.771","1.771","1.771","0.91%"
"12/14/2010","1.755","1.755","1.755","1.755","-0.06%"
"12/13/2010","1.756","1.756","1.756","1.756","-0.96%"
"12/10/2010","1.773","1.773","1.773","1.773","-13.51%"
"12/09/2010","2.050","2.050","2.050","2.050","4.22%"
"12/08/2010","1.967","1.967","1.967","1.967","-0.41%"
"12/07/2010","1.975","1.975","1.975","1.975","8.40%"
"12/06/2010","1.822","1.822","1.822","1.822","-8.90%"
"12/03/2010","2.000","2.000","2.000","2.000","-18.33%"
"12/02/2010","2.449","2.449","2.449","2.449","4.17%"
"12/01/2010","2.351","2.351","2.351","2.351","-7.55%"
"11/30/2010","2.543","2.543","2.543","2.543","11.54%"
"11/29/2010","2.280","2.280","2.280","2.280","5.56%"
"11/26/2010","2.160","2.160","2.160","2.160","1.27%"
"11/25/2010","2.133","2.133","2.133","2.133","2.06%"
"11/24/2010","2.090","2.090","2.090","2.090","-0.67%"
"11/23/2010","2.104","2.104","2.104","2.104","13.79%"
"11/22/2010","1.849","1.849","1.849","1.849","4.17%"
"11/19/2010","1.775","1.775","1.775","1.775","10.52%"
"11/18/2010","1.606","1.606","1.606","1.606","3.81%"
"11/17/2010","1.547","1.547","1.547","1.547","-13.53%"
"11/16/2010","1.789","1.789","1.789","1.789","0.62%"
"11/15/2010","1.778","1.778","1.778","1.778","17.75%"
"11/12/2010","1.510","1.510","1.510","1.510","-1.31%"
"11/11/2010","1.530","1.530","1.530","1.530","1.26%"
"11/10/2010","1.511","1.511","1.511","1.511","1.41%"
"11/09/2010","1.490","1.490","1.490","1.490","-1.65%"
"11/08/2010","1.515","1.515","1.515","1.515","4.55%"
"11/05/2010","1.449","1.449","1.449","1.449","0.35%"
"11/04/2010","1.444","1.444","1.444","1.444","0.28%"
"11/03/2010","1.440","1.440","1.440","1.440","0.00%"
"11/02/2010","1.440","1.440","1.440","1.440","0.35%"
"11/01/2010","1.435","1.435","1.435","1.435","-49.51%"
"10/29/2010","2.842","2.842","2.842","2.842","3.57%"
"10/28/2010","2.744","2.744","2.744","2.744","12.55%"
"10/27/2010","2.438","2.438","2.438","2.438","1.88%"
"10/26/2010","2.393","2.393","2.393","2.393","3.15%"
"10/25/2010","2.320","2.320","2.320","2.320","3.66%"
"10/22/2010","2.238","2.238","2.238","2.238","0.77%"
"10/21/2010","2.221","2.221","2.221","2.221","5.81%"
"10/20/2010","2.099","2.099","2.099","2.099","3.55%"
"10/19/2010","2.027","2.027","2.027","2.027","2.22%"
"10/18/2010","1.983","1.983","1.983","1.983","3.34%"
"10/15/2010","1.919","1.919","1.919","1.919","2.57%"
"10/14/2010","1.871","1.871","1.871","1.871","-78.12%"
"01/31/1994","8.550","8.550","8.550","8.550","-1.16%"
"01/28/1994","8.650","8.650","8.650","8.650","-0.57%"
"01/27/1994","8.700","8.700","8.700","8.700","0.58%"
"01/26/1994","8.650","8.650","8.650","8.650","-0.57%"
"01/25/1994","8.700","8.700","8.700","8.700","0.00%"
"01/24/1994","8.700","8.700","8.700","8.700","-0.57%"
"01/21/1994","8.750","8.750","8.750","8.750","1.51%"
"01/20/1994","8.620","8.620","8.620","8.620","-0.69%"
"01/19/1994","8.680","8.680","8.680","8.680","0.00%"
"01/18/1994","8.680","8.680","8.680","8.680","-0.80%"
"01/17/1994","8.750","8.750","8.750","8.750","0.57%"
"01/14/1994","8.700","8.700","8.700","8.700","0.00%"
"01/13/1994","8.700","8.700","8.700","8.700","0.00%"
"01/12/1994","8.700","8.700","8.700","8.700","0.00%"
"01/11/1994","8.700","8.700","8.700","8.700","-1.14%"
"01/10/1994","8.800","8.800","8.800","8.800","-0.79%"
"01/07/1994","8.870","8.870","8.870","8.870","0.80%"
"01/06/1994","8.800","8.800","8.800","8.800","1.15%"
"01/05/1994","8.700","8.700","8.700","8.700","0.00%"
"01/04/1994","8.700","8.700","8.700","8.700","0.00%"
"01/03/1994","8.700","8.700","8.700","8.700","0.23%"
"12/31/1993","8.680","8.680","8.680","8.680","-0.23%"
"12/30/1993","8.700","8.700","8.700","8.700","1.16%"
"12/29/1993","8.600","8.600","8.600","8.600","-1.04%"
"12/28/1993","8.690","8.690","8.690","8.690","-1.25%"
"12/27/1993","8.800","8.800","8.800","8.800","0.00%"
"12/24/1993","8.800","8.800","8.800","8.800","-1.12%"
"12/23/1993","8.900","8.900","8.900","8.900","1.14%"
"12/22/1993","8.800","8.800","8.800","8.800","-0.11%"
"12/21/1993","8.810","8.810","8.810","8.810","-1.01%"
"12/20/1993","8.900","8.900","8.900","8.900","0.00%"
"12/17/1993","8.900","8.900","8.900","8.900","0.00%"
"12/16/1993","8.900","8.900","8.900","8.900","1.71%"
"12/15/1993","8.750","8.750","8.750","8.750","-0.57%"
"12/14/1993","8.800","8.800","8.800","8.800","0.00%"
"12/13/1993","8.800","8.800","8.800","8.800","-1.12%"
"12/10/1993","8.900","8.900","8.900","8.900","0.00%"
"12/09/1993","8.900","8.900","8.900","8.900","-1.11%"
"12/08/1993","9.000","9.000","9.000","9.000","0.00%"
"12/07/1993","9.000","9.000","9.000","9.000","-1.10%"
"12/06/1993","9.100","9.100","9.100","9.100","1.11%"
"12/03/1993","9.000","9.000","9.000","9.000","0.00%"
"12/02/1993","9.000","9.000","9.000","9.000","0.00%"
"12/01/1993","9.000","9.000","9.000","9.000","-1.32%"
"11/30/1993","9.120","9.120","9.120","9.120","0.66%"
"11/29/1993","9.060","9.060","9.060","9.060","-0.11%"
"11/26/1993","9.070","9.070","9.070","9.070","0.11%"
"11/25/1993","9.060","9.060","9.060","9.060","-0.44%"
"11/24/1993","9.100","9.100","9.100","9.100","-1.09%"
"11/23/1993","9.200","9.200","9.200","9.200","2.22%"
"11/22/1993","9.000","9.000","9.000","9.000","1.12%"
"11/19/1993","8.900","8.900","8.900","8.900","0.00%"
"11/18/1993","8.900","8.900","8.900","8.900","1.02%"
"11/17/1993","8.810","8.810","8.810","8.810","-3.40%"
"11/16/1993","9.120","9.120","9.120","9.120","-2.04%"
"11/15/1993","9.310","9.310","9.310","9.310","-0.96%"
"11/12/1993","9.400","9.400","9.400","9.400","-1.05%"
"11/11/1993","9.500","9.500","9.500","9.500","0.00%"
"11/10/1993","9.500","9.500","9.500","9.500","0.00%"
"11/09/1993","9.500","9.500","9.500","9.500","0.00%"
"11/08/1993","9.500","9.500","9.500","9.500","-6.13%"
"11/05/1993","10.120","10.120","10.120","10.120","7.32%"
"11/04/1993","9.430","9.430","9.430","9.430","-0.74%"
"11/03/1993","9.500","9.500","9.500","9.500","0.00%"
"11/02/1993","9.500","9.500","9.500","9.500","4.17%"
"11/01/1993","9.120","9.120","9.120","9.120","-1.94%"
"10/29/1993","9.300","9.300","9.300","9.300","0.00%"
"10/28/1993","9.300","9.300","9.300","9.300","1.09%"
"10/27/1993","9.200","9.200","9.200","9.200","0.00%"
"10/26/1993","9.200","9.200","9.200","9.200","0.00%"
"10/25/1993","9.200","9.200","9.200","9.200","0.22%"
"10/22/1993","9.180","9.180","9.180","9.180","-0.22%"
"10/21/1993","9.200","9.200","9.200","9.200","-3.16%"
"10/20/1993","9.500","9.500","9.500","9.500","0.00%"
"10/19/1993","9.500","9.500","9.500","9.500","-1.04%"
"10/18/1993","9.600","9.600","9.600","9.600","0.00%"
"10/15/1993","9.600","9.600","9.600","9.600","-1.03%"
"10/14/1993","9.700","9.700","9.700","9.700","-3.00%"
"10/13/1993","10.000","10.000","10.000","10.000","-0.99%"
"10/12/1993","10.100","10.100","10.100","10.100","-0.49%"
"10/11/1993","10.150","10.150","10.150","10.150","1.50%"
"10/08/1993","10.000","10.000","10.000","10.000","0.00%"
"10/07/1993","10.000","10.000","10.000","10.000","0.00%"
"10/06/1993","10.000","10.000","10.000","10.000","-0.99%"
"10/05/1993","10.100","10.100","10.100","10.100","0.00%"
"10/04/1993","10.100","10.100","10.100","10.100","1.61%"
"10/01/1993","9.940","9.940","9.940","9.940","0.71%"
"09/30/1993","9.870","9.870","9.870","9.870","-1.30%"
"09/29/1993","10.000","10.000","10.000","10.000","0.00%"
"09/28/1993","10.000","10.000","10.000","10.000","1.01%"
"09/27/1993","9.900","9.900","9.900","9.900","-1.00%"
"09/24/1993","10.000","10.000","10.000","10.000","0.00%"
"09/23/1993","10.000","10.000","10.000","10.000","2.04%"
"09/22/1993","9.800","9.800","9.800","9.800","-1.01%"
"09/21/1993","9.900","9.900","9.900","9.900","1.02%"
"09/20/1993","9.800","9.800","9.800","9.800","-1.31%"
"09/17/1993","9.930","9.930","9.930","9.930","-1.68%"
"09/16/1993","10.100","10.100","10.100","10.100","0.00%"
"09/15/1993","10.100","10.100","10.100","10.100","1.00%"
"09/14/1993","10.000","10.000","10.000","10.000","1.01%"
"09/13/1993","9.900","9.900","9.900","9.900","0.00%"
"09/10/1993","9.900","9.900","9.900","9.900","0.00%"
"09/09/1993","9.900","9.900","9.900","9.900","-1.98%"
"09/08/1993","10.100","10.100","10.100","10.100","-1.94%"
"09/07/1993","10.300","10.300","10.300","10.300","1.18%"
"09/06/1993","10.180","10.180","10.180","10.180","-0.20%"
"09/03/1993","10.200","10.200","10.200","10.200","-0.97%"
"09/02/1993","10.300","10.300","10.300","10.300","0.49%"
"09/01/1993","10.250","10.250","10.250","10.250","-0.49%"
"08/31/1993","10.300","10.300","10.300","10.300","-0.96%"
"08/30/1993","10.400","10.400","10.400","10.400","-0.95%"
"08/27/1993","10.500","10.500","10.500","10.500","0.00%"
"08/26/1993","10.500","10.500","10.500","10.500","0.96%"
"08/25/1993","10.400","10.400","10.400","10.400","0.29%"
"08/24/1993","10.370","10.370","10.370","10.370","-1.24%"
"08/23/1993","10.500","10.500","10.500","10.500","0.00%"
"08/20/1993","10.500","10.500","10.500","10.500","-0.94%"
"08/19/1993","10.600","10.600","10.600","10.600","0.00%"
"08/18/1993","10.600","10.600","10.600","10.600","-1.85%"
"08/17/1993","10.800","10.800","10.800","10.800","0.93%"
"08/16/1993","10.700","10.700","10.700","10.700","0.00%"
"08/13/1993","10.700","10.700","10.700","10.700","0.94%"
"08/12/1993","10.600","10.600","10.600","10.600","-9.40%"
"08/11/1993","11.700","11.700","11.700","11.700","6.36%"
"08/10/1993","11.000","11.000","11.000","11.000","0.00%"
"08/09/1993","11.000","11.000","11.000","11.000","-0.90%"
"08/06/1993","11.100","11.100","11.100","11.100","0.00%"
"08/05/1993","11.100","11.100","11.100","11.100","1.83%"
"08/04/1993","10.900","10.900","10.900","10.900","2.64%"
"08/03/1993","10.620","10.620","10.620","10.620","-1.21%"
"08/02/1993","10.750","10.750","10.750","10.750","-4.44%"
"07/30/1993","11.250","11.250","11.250","11.250","-7.02%"
"07/29/1993","12.100","12.100","12.100","12.100","2.98%"
"07/28/1993","11.750","11.750","11.750","11.750","-2.08%"
"07/27/1993","12.000","12.000","12.000","12.000","-3.23%"
"07/26/1993","12.400","12.400","12.400","12.400","2.31%"
"07/23/1993","12.120","12.120","12.120","12.120","0.00%"
"07/22/1993","12.120","12.120","12.120","12.120","2.62%"
"07/21/1993","11.810","11.810","11.810","11.810","5.64%"
"07/20/1993","11.180","11.180","11.180","11.180","-0.18%"
"07/19/1993","11.200","11.200","11.200","11.200","-0.97%"
"07/16/1993","11.310","11.310","11.310","11.310","0.98%"
"07/15/1993","11.200","11.200","11.200","11.200","-0.44%"
"07/14/1993","11.250","11.250","11.250","11.250","4.07%"
"07/13/1993","10.810","10.810","10.810","10.810","-1.10%"
"07/12/1993","10.930","10.930","10.930","10.930","0.55%"
"07/09/1993","10.870","10.870","10.870","10.870","1.12%"
"07/08/1993","10.750","10.750","10.750","10.750","1.22%"
"07/07/1993","10.620","10.620","10.620","10.620","-1.67%"
"07/06/1993","10.800","10.800","10.800","10.800","1.03%"
"07/05/1993","10.690","10.690","10.690","10.690","-1.93%"
"07/02/1993","10.900","10.900","10.900","10.900","3.22%"
"07/01/1993","10.560","10.560","10.560","10.560","-1.31%"
"06/30/1993","10.700","10.700","10.700","10.700","0.00%"
"06/29/1993","10.700","10.700","10.700","10.700","-0.93%"
"06/28/1993","10.800","10.800","10.800","10.800","1.12%"
"06/25/1993","10.680","10.680","10.680","10.680","-1.11%"
"06/24/1993","10.800","10.800","10.800","10.800","0.93%"
"06/23/1993","10.700","10.700","10.700","10.700","0.19%"
"06/22/1993","10.680","10.680","10.680","10.680","-0.19%"
"06/21/1993","10.700","10.700","10.700","10.700","0.75%"
"06/18/1993","10.620","10.620","10.620","10.620","-2.84%"
"06/17/1993","10.930","10.930","10.930","10.930","0.00%"
"06/16/1993","10.930","10.930","10.930","10.930","-1.53%"
"06/15/1993","11.100","11.100","11.100","11.100","-0.18%"
"06/14/1993","11.120","11.120","11.120","11.120","-2.46%"
"06/11/1993","11.400","11.400","11.400","11.400","4.88%"
"06/10/1993","10.870","10.870","10.870","10.870","-1.18%"
"06/09/1993","11.000","11.000","11.000","11.000","0.00%"
"06/08/1993","11.000","11.000","11.000","11.000","-1.08%"
"06/07/1993","11.120","11.120","11.120","11.120","2.30%"
"06/04/1993","10.870","10.870","10.870","10.870","-1.18%"
"06/03/1993","11.000","11.000","11.000","11.000","-0.90%"
"06/02/1993","11.100","11.100","11.100","11.100","-1.77%"
"06/01/1993","11.300","11.300","11.300","11.300","-2.75%"
"05/31/1993","11.620","11.620","11.620","11.620","0.00%"
"05/28/1993","11.620","11.620","11.620","11.620","4.68%"
"05/27/1993","11.100","11.100","11.100","11.100","-2.37%"
"05/26/1993","11.370","11.370","11.370","11.370","3.36%"
"05/25/1993","11.000","11.000","11.000","11.000","-1.79%"
"05/24/1993","11.200","11.200","11.200","11.200","0.00%"
"05/21/1993","11.200","11.200","11.200","11.200","-3.45%"
"05/20/1993","11.600","11.600","11.600","11.600","0.87%"
"05/19/1993","11.500","11.500","11.500","11.500","-0.86%"
"05/18/1993","11.600","11.600","11.600","11.600","-1.28%"
"05/17/1993","11.750","11.750","11.750","11.750","-5.47%"
"05/14/1993","12.430","12.430","12.430","12.430","8.09%"
"05/13/1993","11.500","11.500","11.500","11.500","-25.18%"
"05/12/1993","15.370","15.370","15.370","15.370","-0.84%"
"05/11/1993","15.500","15.500","15.500","15.500","0.85%"
"05/10/1993","15.370","15.370","15.370","15.370","4.20%"
"05/07/1993","14.750","14.750","14.750","14.750","0.89%"
"05/06/1993","14.620","14.620","14.620","14.620","-0.88%"
"05/05/1993","14.750","14.750","14.750","14.750","2.43%"
"05/04/1993","14.400","14.400","14.400","14.400","-1.50%"
"05/03/1993","14.620","14.620","14.620","14.620","0.41%"
"04/30/1993","14.560","14.560","14.560","14.560","0.00%"
"04/29/1993","14.560","14.560","14.560","14.560","4.00%"
"04/28/1993","14.000","14.000","14.000","14.000","-2.98%"
"04/27/1993","14.430","14.430","14.430","14.430","0.21%"
"04/26/1993","14.400","14.400","14.400","14.400","5.11%"
"04/23/1993","13.700","13.700","13.700","13.700","1.48%"
"04/22/1993","13.500","13.500","13.500","13.500","0.97%"
"04/21/1993","13.370","13.370","13.370","13.370","2.06%"
"04/20/1993","13.100","13.100","13.100","13.100","0.00%"
"04/19/1993","13.100","13.100","13.100","13.100","-2.96%"
"04/16/1993","13.500","13.500","13.500","13.500","-2.88%"
"04/15/1993","13.900","13.900","13.900","13.900","-2.80%"
"04/14/1993","14.300","14.300","14.300","14.300","-0.90%"
"04/13/1993","14.430","14.430","14.430","14.430","3.07%"
"04/12/1993","14.000","14.000","14.000","14.000","0.00%"
"04/09/1993","14.000","14.000","14.000","14.000","0.00%"
"04/08/1993","14.000","14.000","14.000","14.000","-0.85%"
"04/07/1993","14.120","14.120","14.120","14.120","2.69%"
"04/06/1993","13.750","13.750","13.750","13.750","1.10%"
"04/05/1993","13.600","13.600","13.600","13.600","0.74%"
"04/02/1993","13.500","13.500","13.500","13.500","-0.44%"
"04/01/1993","13.560","13.560","13.560","13.560","0.00%"
"03/31/1993","13.560","13.560","13.560","13.560","-2.45%"
"03/30/1993","13.900","13.900","13.900","13.900","-0.71%"
"03/29/1993","14.000","14.000","14.000","14.000","0.00%"
"03/26/1993","14.000","14.000","14.000","14.000","-4.11%"
"03/25/1993","14.600","14.600","14.600","14.600","-1.02%"
"03/24/1993","14.750","14.750","14.750","14.750","-1.67%"
"03/23/1993","15.000","15.000","15.000","15.000","-0.66%"
"03/22/1993","15.100","15.100","15.100","15.100","-0.98%"
"03/19/1993","15.250","15.250","15.250","15.250","1.67%"
"03/18/1993","15.000","15.000","15.000","15.000","3.02%"
"03/17/1993","14.560","14.560","14.560","14.560","0.00%"
"03/16/1993","14.560","14.560","14.560","14.560","0.00%"
"03/15/1993","14.560","14.560","14.560","14.560","-1.69%"
"03/12/1993","14.810","14.810","14.810","14.810","0.07%"
"03/11/1993","14.800","14.800","14.800","14.800","-0.07%"
"03/10/1993","14.810","14.810","14.810","14.810","1.72%"
"03/09/1993","14.560","14.560","14.560","14.560","1.75%"
"03/08/1993","14.310","14.310","14.310","14.310","-2.12%"
"03/05/1993","14.620","14.620","14.620","14.620","-0.88%"
"03/04/1993","14.750","14.750","14.750","14.750","-0.41%"
"03/03/1993","14.810","14.810","14.810","14.810","-2.05%"
"03/02/1993","15.120","15.120","15.120","15.120","5.00%"
"03/01/1993","14.400","14.400","14.400","14.400","-5.57%"
"02/26/1993","15.250","15.250","15.250","15.250","-1.61%"
"02/25/1993","15.500","15.500","15.500","15.500","-1.59%"
"02/24/1993","15.750","15.750","15.750","15.750","0.00%"
"02/23/1993","15.750","15.750","15.750","15.750","0.32%"
"02/22/1993","15.700","15.700","15.700","15.700","15.44%"
"02/19/1993","13.600","13.600","13.600","13.600","-2.37%"
"02/18/1993","13.930","13.930","13.930","13.930","4.19%"
"02/17/1993","13.370","13.370","13.370","13.370","2.37%"
"02/16/1993","13.060","13.060","13.060","13.060","1.01%"
"02/15/1993","12.930","12.930","12.930","12.930","0.47%"
"02/12/1993","12.870","12.870","12.870","12.870","-1.00%"
"02/11/1993","13.000","13.000","13.000","13.000","1.01%"
