"Date","Price","Open","High","Low","Change %"
"06/28/2000","5.798","5.798","5.798","5.798","-0.51%"
"06/27/2000","5.828","5.828","5.828","5.828","0.50%"
"06/26/2000","5.799","5.799","5.799","5.799","-0.69%"
"06/23/2000","5.839","5.839","5.839","5.839","1.04%"
"06/22/2000","5.779","5.779","5.779","5.779","-0.02%"
"06/21/2000","5.780","5.780","5.780","5.780","-0.07%"
"06/20/2000","5.784","5.784","5.784","5.784","0.14%"
"06/19/2000","5.776","5.776","5.776","5.776","-0.55%"
"06/16/2000","5.808","5.808","5.808","5.808","-0.22%"
"06/15/2000","5.821","5.821","5.821","5.821","0.34%"
"06/14/2000","5.801","5.801","5.801","5.801","1.03%"
"06/13/2000","5.742","5.742","5.742","5.742","-1.64%"
"06/12/2000","5.838","5.838","5.838","5.838","-1.08%"
"06/09/2000","5.902","5.902","5.902","5.902","0.14%"
"06/08/2000","5.894","5.894","5.894","5.894","-0.02%"
"06/07/2000","5.895","5.895","5.895","5.895","-1.24%"
"06/06/2000","5.969","5.969","5.969","5.969","1.70%"
"06/05/2000","5.869","5.869","5.869","5.869","1.05%"
"06/02/2000","5.808","5.808","5.808","5.808","1.97%"
"06/01/2000","5.696","5.696","5.696","5.696","1.48%"
"05/31/2000","5.613","5.613","5.613","5.613","-1.96%"
"05/30/2000","5.725","5.725","5.725","5.725","-1.05%"
"05/26/2000","5.786","5.786","5.786","5.786","-0.96%"
"05/25/2000","5.842","5.842","5.842","5.842","-0.81%"
"05/24/2000","5.890","5.890","5.890","5.890","-0.62%"
"05/23/2000","5.927","5.927","5.927","5.927","1.70%"
"05/22/2000","5.828","5.828","5.828","5.828","-0.19%"
"05/19/2000","5.839","5.839","5.839","5.839","-0.66%"
"05/18/2000","5.878","5.878","5.878","5.878","-2.70%"
"05/17/2000","6.041","6.041","6.041","6.041","-1.72%"
"05/16/2000","6.147","6.147","6.147","6.147","1.14%"
"05/15/2000","6.078","6.078","6.078","6.078","-0.61%"
"05/12/2000","6.115","6.115","6.115","6.115","1.63%"
"05/11/2000","6.017","6.017","6.017","6.017","-1.08%"
"05/10/2000","6.083","6.083","6.083","6.083","-0.52%"
"05/09/2000","6.115","6.115","6.115","6.115","2.19%"
"05/08/2000","5.984","5.984","5.984","5.984","0.69%"
"05/05/2000","5.943","5.943","5.943","5.943","0.75%"
"05/04/2000","5.899","5.899","5.899","5.899","0.96%"
"05/03/2000","5.843","5.843","5.843","5.843","-0.68%"
"05/02/2000","5.883","5.883","5.883","5.883","1.50%"
"05/01/2000","5.796","5.796","5.796","5.796","-0.29%"
"04/28/2000","5.813","5.813","5.813","5.813","1.50%"
"04/27/2000","5.727","5.727","5.727","5.727","-0.19%"
"04/26/2000","5.738","5.738","5.738","5.738","-0.74%"
"04/25/2000","5.781","5.781","5.781","5.781","0.64%"
"04/24/2000","5.744","5.744","5.744","5.744","-0.61%"
"04/20/2000","5.779","5.779","5.779","5.779","-0.29%"
"04/19/2000","5.796","5.796","5.796","5.796","0.26%"
"04/18/2000","5.781","5.781","5.781","5.781","0.45%"
"04/17/2000","5.755","5.755","5.755","5.755","-0.16%"
"04/14/2000","5.764","5.764","5.764","5.764","0.10%"
"04/13/2000","5.758","5.758","5.758","5.758","-1.18%"
"04/12/2000","5.827","5.827","5.827","5.827","0.07%"
"04/11/2000","5.823","5.823","5.823","5.823","-0.31%"
"04/10/2000","5.841","5.841","5.841","5.841","-0.49%"
"04/07/2000","5.870","5.870","5.870","5.870","-0.05%"
"04/06/2000","5.873","5.873","5.873","5.873","0.34%"
"04/05/2000","5.853","5.853","5.853","5.853","0.88%"
"04/04/2000","5.802","5.802","5.802","5.802","-0.22%"
"04/03/2000","5.815","5.815","5.815","5.815","-0.77%"
"03/31/2000","5.860","5.860","5.860","5.860","-0.14%"
"03/30/2000","5.868","5.868","5.868","5.868","-0.29%"
"03/29/2000","5.885","5.885","5.885","5.885","0.17%"
"03/28/2000","5.875","5.875","5.875","5.875","0.63%"
"03/27/2000","5.838","5.838","5.838","5.838","-0.73%"
"03/24/2000","5.881","5.881","5.881","5.881","0.50%"
"03/23/2000","5.852","5.852","5.852","5.852","-0.56%"
