"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2010","3.070","2.983","3.123","2.983","1.12M","1.59%"
"07/28/2010","3.022","3.002","3.046","2.959","504.33K","2.13%"
"07/27/2010","2.959","3.041","3.090","2.809","913.48K","-2.86%"
"07/26/2010","3.046","2.891","3.070","2.818","1.07M","6.24%"
"07/23/2010","2.867","2.755","2.896","2.726","1.32M","3.88%"
"07/22/2010","2.760","2.586","2.760","2.586","1.40M","5.54%"
"07/21/2010","2.615","2.538","2.644","2.508","804.79K","3.85%"
"07/20/2010","2.518","2.600","2.600","2.489","307.06K","-0.94%"
"07/19/2010","2.542","2.600","2.600","2.513","844.40K","-2.08%"
"07/16/2010","2.596","2.557","2.605","2.542","522.93K","1.53%"
"07/15/2010","2.557","2.605","2.605","2.538","362.82K","-3.11%"
"07/14/2010","2.639","2.663","2.707","2.586","451.49K","0.19%"
"07/13/2010","2.634","2.465","2.654","2.460","895.75K","6.86%"
"07/12/2010","2.465","2.489","2.528","2.455","208.69K","-1.91%"
"07/09/2010","2.513","2.567","2.567","2.479","295.66K","-0.99%"
"07/08/2010","2.538","2.547","2.576","2.489","915.25K","0.99%"
"07/07/2010","2.513","2.421","2.513","2.373","1.26M","2.95%"
"07/06/2010","2.441","2.339","2.455","2.334","586.44K","3.70%"
"07/05/2010","2.354","2.339","2.354","2.324","425.48K","0.64%"
"07/02/2010","2.339","2.378","2.402","2.324","608.31K","-0.64%"
"07/01/2010","2.354","2.373","2.436","2.324","1.04M","-2.77%"
"06/30/2010","2.421","2.416","2.460","2.412","703.78K","0.37%"
"06/29/2010","2.412","2.450","2.479","2.412","1.74M","-3.83%"
"06/28/2010","2.508","2.436","2.513","2.436","281.30K","2.53%"
"06/25/2010","2.446","2.460","2.557","2.431","815.20K","-1.92%"
"06/24/2010","2.494","2.547","2.557","2.470","786.64K","-0.56%"
"06/23/2010","2.508","2.508","2.567","2.489","435.05K","-1.53%"
"06/22/2010","2.547","2.678","2.678","2.513","815.10K","-4.36%"
