,date,ticker
45,2021-03-08,"['AMS_1' 'CABK' 'PHM' 'MRL' 'CLNX' 'IAG' 'TEF' 'ANA_2' 'ACX_2' 'GRF' 'ACS'
 'ITX' 'IDR' 'MEL' 'BKT' 'COL_1']"
46,2021-03-09,"['COL_1' 'MRL' 'TEF' 'BKT' 'MEL' 'ACX_2' 'IAG' 'ACS' 'GRF' 'AMS_1' 'ANA_2'
 'CLNX' 'CABK' 'PHM' 'IDR' 'ITX']"
47,2021-03-10,"['CLNX' 'PHM' 'TEF' 'AMS_1' 'MEL' 'MRL' 'ACX_2' 'BKT' 'GRF' 'IAG' 'CABK'
 'IDR' 'COL_1' 'ACS' 'ITX']"
48,2021-03-11,"['ACS' 'MRL' 'ITX' 'TEF' 'IDR' 'IAG' 'ACX_2' 'BKT' 'CLNX' 'MEL' 'AMS_1'
 'GRF' 'COL_1' 'CABK' 'PHM' 'SAN_1']"
49,2021-03-12,"['COL_1' 'SAN_1' 'MRL' 'TEF' 'IDR' 'AMS_1' 'FER' 'ITX' 'ACX_2' 'MTS' 'ACS'
 'PHM' 'BKT' 'IAG' 'CLNX' 'CABK']"
50,2021-03-15,"['FER' 'CLNX' 'ACX_2' 'COL_1' 'SAN_1' 'BKT' 'MTS' 'AMS_1' 'IAG' 'ACS'
 'CABK' 'ITX' 'MRL' 'IDR']"
51,2021-03-16,"['ACS' 'FER' 'TEF' 'BKT' 'MRL' 'AMS_1' 'MTS' 'CABK' 'IAG' 'PHM' 'CLNX'
 'ACX_2' 'COL_1' 'ITX' 'SAN_1' 'IDR']"
52,2021-03-17,"['SAN_1' 'CLNX' 'ACX_2' 'BBVA' 'COL_1' 'IDR' 'ACS' 'IAG' 'MTS' 'CABK'
 'FER' 'AMS_1' 'BKT' 'MRL' 'ITX' 'TEF']"
53,2021-03-18,"['CLNX' 'MRL' 'ITX' 'COL_1' 'BBVA' 'ACX_2' 'BKT' 'SAN_1' 'TEF' 'MTS' 'IDR'
 'IAG' 'AMS_1' 'FER' 'ACS' 'CABK']"
54,2021-03-19,"['COL_1' 'IAG' 'SAN_1' 'TEF' 'MRL' 'MTS' 'ITX' 'BKT' 'IDR' 'ACS' 'AMS_1'
 'ACX_2' 'CLNX' 'FER' 'CABK']"
55,2021-03-22,"['AMS_1' 'ACS' 'MEL' 'COL_1' 'CABK' 'MRL' 'TEF' 'ITX' 'BKT' 'CLNX' 'ACX_2'
 'IAG']"
56,2021-03-23,"['AMS_1' 'ITX' 'CIE' 'IAG' 'CLNX' 'ACS' 'BKT' 'CABK' 'ACX_2' 'MEL' 'MRL'
 'FER' 'TEF']"
